Recording timestamp,Project name,Export date,Participant name,Recording name,Recording date,Event,Event value
253661,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,2
253796,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
253796,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1072_DFA_SAD_XX
257181,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1072_DFA_SAD_XX
257181,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
262649,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,3
262806,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
262806,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1060_DFA_SAD_XX
262885,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,3
265765,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1060_DFA_SAD_XX
265765,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
266349,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,3
266485,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
266485,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1091_ITH_FEA_XX
270297,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1091_ITH_FEA_XX
270297,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
271729,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,2
271870,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
271870,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1072_DFA_DIS_XX
276068,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1072_DFA_DIS_XX
276068,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
277661,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,5
277801,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
277801,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1031_DFA_ANG_XX
281040,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1031_DFA_ANG_XX
281040,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
281909,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,3
282053,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
282053,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1031_DFA_FEA_XX
285305,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1031_DFA_FEA_XX
285305,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
286848,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,2
286958,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
286958,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1072_DFA_ANG_XX
291184,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1072_DFA_ANG_XX
291184,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
292102,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,2
292250,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
292250,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1031_DFA_HAP_XX
295795,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1031_DFA_HAP_XX
295795,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
296293,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,3
296435,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
296435,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1001_DFA_DIS_XX
299887,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1001_DFA_DIS_XX
299887,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
300542,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,3
